#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.010    -98.840   -118.245   -126.822    -27.518    175.021     94.409
      0.020    -99.110   -116.490   -125.872    -26.584    176.128     95.605
      0.030    -99.371   -114.723   -124.910    -25.627    177.243     96.817
      0.040    -99.623   -112.945   -123.935    -24.647    178.364     98.046
      0.050    -99.864   -111.155   -122.949    -23.643    179.492     99.292
      0.060   -100.095   -109.355   -121.949    -22.614    180.627    100.556
      0.070   -100.316   -107.543   -120.937    -21.559    181.768    101.838
      0.080   -100.526   -105.719   -119.913    -20.478    182.917    103.139
      0.090   -100.726   -103.884   -118.875    -19.369    184.072    104.459
      0.100   -100.914   -102.038   -117.823    -18.231    185.234    105.798
      0.110   -101.090   -100.180   -116.758    -17.064    186.402    107.157
      0.120   -101.255    -98.310   -115.680    -15.866    187.577    108.537
      0.130   -101.407    -96.428   -114.588    -14.637    188.758    109.938
      0.140   -101.547    -94.535   -113.481    -13.375    189.945    111.361
      0.150   -101.675    -92.629   -112.360    -12.079    191.139    112.806
      0.160   -101.789    -90.712   -111.225    -10.748    192.338    114.273
      0.170   -101.889    -88.782   -110.075     -9.380    193.544    115.764
      0.180   -101.976    -86.841   -108.910     -7.975    194.754    117.278
      0.190   -102.049    -84.887   -107.729     -6.530    195.970    118.817
      0.200   -102.107    -82.922   -106.533     -5.045    197.191    120.382
      0.210   -102.149    -80.943   -105.321     -3.517    198.417    121.972
      0.220   -102.177    -78.953   -104.093     -1.945    199.647    123.588
      0.230   -102.188    -76.951   -102.849     -0.327    200.881    125.232
      0.240   -102.183    -74.936   -101.589      1.338    202.119    126.903
      0.250   -102.161    -72.908   -100.311      3.052    203.359    128.603
      0.260   -102.122    -70.868    -99.016      4.818    204.602    130.333
      0.270   -102.064    -68.816    -97.704      6.638    205.847    132.092
      0.280   -101.989    -66.751    -96.374      8.513    207.093    133.883
      0.290   -101.894    -64.674    -95.027     10.447    208.339    135.704
      0.300   -101.779    -62.585    -93.660     12.441    209.585    137.559
      0.310   -101.645    -60.483    -92.275     14.498    210.830    139.447
      0.320   -101.489    -58.368    -90.871     16.621    212.072    141.368
      0.330   -101.312    -56.241    -89.448     18.812    213.310    143.325
      0.340   -101.113    -54.102    -88.004     21.075    214.544    145.317
      0.350   -100.890    -51.950    -86.541     23.414    215.771    147.346
      0.360   -100.644    -49.786    -85.057     25.830    216.991    149.412
      0.370   -100.373    -47.610    -83.553     28.328    218.201    151.517
      0.380   -100.077    -45.422    -82.027     30.911    219.400    153.660
      0.390    -99.754    -43.223    -80.479     33.584    220.586    155.844
      0.400    -99.405    -41.011    -78.910     36.350    221.756    158.067
      0.410    -99.027    -38.788    -77.318     39.213    222.907    160.333
      0.420    -98.620    -36.553    -75.703     42.179    224.038    162.640
      0.430    -98.183    -34.307    -74.065     45.251    225.144    164.990
      0.440    -97.714    -32.050    -72.403     48.435    226.223    167.383
      0.450    -97.214    -29.783    -70.717     51.737    227.270    169.820
      0.460    -96.679    -27.505    -69.006     55.161    228.281    172.301
      0.470    -96.110    -25.217    -67.271     58.713    229.253    174.826
      0.480    -95.504    -22.920    -65.509     62.399    230.179    177.396
      0.490    -94.861    -20.614    -63.722     66.226    231.054    180.009
      0.500    -94.179    -18.299    -61.909     70.200    231.872    182.667
      0.510    -93.456    -15.977    -60.069     74.328    232.626    185.367
      0.520    -92.692    -13.647    -58.202     78.616    233.309    188.110
      0.530    -91.883    -11.311    -56.307     83.073    233.911    190.894
      0.540    -91.029     -8.969    -54.383     87.704    234.425    193.717
      0.550    -90.128     -6.623    -52.432     92.519    234.839    196.577
      0.560    -89.178     -4.273    -50.452     97.523    235.143    199.471
      0.570    -88.177     -1.921    -48.442    102.726    235.325    202.396
      0.580    -87.122      0.433    -46.404    108.133    235.371    205.347
      0.590    -86.013      2.786    -44.335    113.753    235.266    208.320
      0.600    -84.846      5.137    -42.237    119.593    234.996    211.307
      0.610    -83.620      7.485    -40.109    125.659    234.541    214.302
      0.620    -82.332      9.827    -37.951    131.956    233.884    217.297
      0.630    -80.980     12.162    -35.763    138.490    233.004    220.280
      0.640    -79.561     14.486    -33.546    145.264    231.880    223.241
      0.650    -78.073     16.798    -31.299    152.279    230.488    226.165
      0.660    -76.514     19.094    -29.023    159.536    228.803    229.038
      0.670    -74.881     21.372    -26.718    167.032    226.799    231.842
      0.680    -73.172     23.629    -24.386    174.761    224.450    234.557
      0.690    -71.385     25.859    -22.028    182.715    221.727    237.160
      0.700    -69.517     28.061    -19.644    190.880    218.602    239.628
      0.710    -67.566     30.229    -17.236    199.239    215.048    241.934
      0.720    -65.531     32.360    -14.806    207.768    211.037    244.047
      0.730    -63.410     34.448    -12.356    216.438    206.545    245.937
      0.740    -61.202     36.488     -9.889    225.215    201.549    247.572
      0.750    -58.906     38.476     -7.406    234.056    196.031    248.916
